# recorded=2026-09-18T18:58:59+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.14.7 cpu_count=4
# workers=7 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
877,100.000,49.908,0.49908,34.936
878,101.000,49.066,0.48580,34.006
879,100.000,50.169,0.50169,35.118
880,101.000,50.372,0.49873,34.911
881,100.000,50.887,0.50887,35.621
882,103.000,51.006,0.49521,34.664
883,100.000,50.566,0.50566,35.396
884,103.000,51.002,0.49516,34.662
885,100.000,50.067,0.50067,35.047
886,100.000,50.967,0.50967,35.677
887,100.499,49.488,0.49243,34.470
888,102.501,50.103,0.48881,34.217
889,103.000,51.627,0.50124,35.087
890,100.001,50.240,0.50240,35.168
891,100.001,49.761,0.49760,34.832
892,100.000,50.238,0.50238,35.166
893,100.000,51.300,0.51300,35.910
894,100.000,49.137,0.49137,34.396
895,102.998,51.010,0.49525,34.667
896,100.999,50.876,0.50372,35.260
897,100.001,49.416,0.49415,34.591
898,100.000,49.562,0.49562,34.693
899,102.392,51.847,0.50635,35.445
900,102.309,50.450,0.49312,34.518
901,100.000,50.974,0.50974,35.682
902,100.000,50.324,0.50324,35.227
903,101.298,49.885,0.49246,34.472
904,102.000,50.611,0.49619,34.733
905,100.001,49.673,0.49673,34.771
906,100.000,50.901,0.50901,35.631
907,100.000,49.898,0.49898,34.929
908,100.999,49.675,0.49184,34.429
909,100.000,50.037,0.50037,35.026
910,100.000,50.528,0.50528,35.370
911,100.000,49.695,0.49695,34.786
912,102.000,50.598,0.49606,34.724
913,102.000,51.809,0.50793,35.555
914,100.000,50.825,0.50825,35.577
915,101.000,48.792,0.48309,33.816
916,103.001,52.035,0.50519,35.363
917,100.000,50.648,0.50648,35.454
918,100.763,49.817,0.49440,34.608
919,100.237,50.204,0.50086,35.060
920,103.000,50.230,0.48767,34.137
921,100.000,51.064,0.51064,35.745
922,100.000,49.227,0.49227,34.459
923,100.000,49.921,0.49921,34.944
924,103.000,51.259,0.49766,34.836
925,100.000,50.924,0.50924,35.647
926,100.000,49.965,0.49965,34.976
927,103.000,51.018,0.49532,34.673
928,101.000,49.817,0.49324,34.527
929,100.000,51.449,0.51449,36.014
930,102.001,49.618,0.48645,34.052
931,100.061,50.639,0.50608,35.426
932,100.938,49.899,0.49435,34.604
933,103.000,51.451,0.49952,34.967
