task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,bsf,random,232,0.2,162.3,0.1883,0.1949,0.1888,0.4940,5.0,161.9,0.000,0.000,0.000,152.3,0.535,0.0000
step,fixed10,random,232,0.0,163.4,0.0149,0.2746,0.0001,0.0140,4.0,52.5,0.000,0.000,0.000,153.4,0.538,0.0000
step,bsf,random,232,0.0,162.1,0.0153,0.2803,0.0002,0.3050,4.0,133.4,0.000,0.000,0.000,152.2,0.534,0.0000
step,fixed10,random,232,0.2,159.6,0.1898,0.3723,0.1902,0.0250,5.0,64.3,0.000,0.000,0.000,149.8,0.526,0.0000
step,bsf,random,232,0.2,158.2,0.1884,0.3648,0.1888,0.5100,5.0,161.3,0.000,0.000,0.000,148.5,0.521,0.0000
circle,fixed10,random,232,0.0,161.9,0.1096,1.5732,0.0426,0.0180,4.0,54.2,0.000,0.000,0.000,151.9,0.533,0.0023
circle,bsf,random,232,0.0,162.2,0.1023,1.5599,0.0476,0.3260,4.1,134.2,0.000,0.000,0.000,152.2,0.534,0.0012
circle,fixed10,random,232,0.2,160.6,0.2260,1.5751,0.1950,0.0250,5.0,64.9,0.000,0.000,0.000,150.7,0.529,0.0024
circle,bsf,random,232,0.2,162.3,0.2171,1.5645,0.1946,0.4950,5.1,161.0,0.000,0.000,0.000,152.4,0.535,0.0018
fig8,fixed10,random,232,0.0,160.9,0.0455,0.4961,0.0484,0.0140,4.0,52.5,0.000,0.000,0.000,151.1,0.530,0.0000
fig8,bsf,random,232,0.0,169.1,0.0457,0.4766,0.0540,0.2590,4.0,133.5,0.000,0.000,0.000,158.8,0.557,0.0000
fig8,fixed10,random,232,0.2,164.9,0.1961,0.5077,0.1961,0.0210,5.0,63.8,0.000,0.000,0.000,154.8,0.543,0.0000
fig8,bsf,random,232,0.2,168.9,0.1943,0.4859,0.1960,0.4470,5.0,162.6,0.000,0.000,0.000,158.5,0.556,0.0000
hover,fixed10,periodic,232,0.0,188.3,0.0023,0.0182,0.0001,0.2000,4.0,53.7,0.000,0.000,0.000,150.3,0.527,0.0000
hover,bsf,periodic,232,0.0,186.8,0.0010,0.0182,0.0000,0.2000,4.0,135.2,0.000,0.000,0.000,149.1,0.523,0.0000
hover,fixed10,periodic,232,0.2,195.4,0.5440,4.0661,0.5696,0.2020,5.2,66.3,0.000,0.000,0.000,155.9,0.547,0.0035
hover,bsf,periodic,232,0.2,194.8,0.1883,0.1949,0.1888,0.2010,5.0,163.7,0.000,0.000,0.000,155.5,0.546,0.0000
step,fixed10,periodic,232,0.0,203.8,0.7920,4.5561,2.1073,0.1860,5.4,54.4,0.000,0.000,0.000,162.7,0.571,0.0268
step,bsf,periodic,232,0.0,194.3,0.0153,0.2803,0.0002,0.2000,4.0,134.0,0.000,0.000,0.000,155.1,0.544,0.0000
step,fixed10,periodic,232,0.2,192.8,0.5956,4.0661,0.7431,0.2010,5.3,64.7,0.000,0.000,0.000,153.9,0.540,0.0040
step,bsf,periodic,232,0.2,188.2,0.1884,0.3648,0.1888,0.2000,5.0,161.9,0.000,0.000,0.000,150.2,0.527,0.0000
circle,fixed10,periodic,232,0.0,193.5,0.2488,1.5902,0.1071,0.2000,4.2,53.5,0.000,0.000,0.000,154.4,0.542,0.0010
circle,bsf,periodic,232,0.0,193.8,0.1025,1.5599,0.0476,0.2030,4.1,134.4,0.000,0.000,0.000,154.7,0.543,0.0012
circle,fixed10,periodic,232,0.2,189.3,6793.0447,18820.3869,16043.9735,0.7910,16.4,229.9,0.000,0.000,0.000,151.1,0.530,0.4872
circle,bsf,periodic,232,0.2,186.0,0.2174,1.5645,0.1946,0.2010,5.0,162.2,0.000,0.000,0.000,148.5,0.521,0.0013
fig8,fixed10,periodic,232,0.0,191.4,0.1290,1.0791,0.0487,0.2000,4.1,52.2,0.000,0.000,0.000,152.8,0.536,0.0000
fig8,bsf,periodic,232,0.0,190.0,0.0457,0.4766,0.0540,0.2000,4.0,132.7,0.000,0.000,0.000,151.6,0.532,0.0000
fig8,fixed10,periodic,232,0.2,188.5,1632.7646,5325.5301,4247.5084,0.5970,12.3,145.6,0.000,0.000,0.000,150.4,0.528,0.2748
fig8,bsf,periodic,232,0.2,187.5,0.1943,0.4859,0.1960,0.2000,5.0,163.3,0.000,0.000,0.000,149.6,0.525,0.0000
hover,fixed10,burst,232,0.0,194.8,0.0011,0.0182,0.0000,0.1810,4.0,52.8,0.000,0.000,0.000,152.6,0.536,0.0000
hover,bsf,burst,232,0.0,194.2,0.0010,0.0182,0.0000,0.1810,4.0,132.4,0.000,0.000,0.000,152.2,0.534,0.0000
hover,fixed10,burst,232,0.2,199.5,0.1897,0.1964,0.1902,0.1810,5.0,64.6,0.000,0.000,0.000,156.3,0.549,0.0000
hover,bsf,burst,232,0.2,191.1,0.1883,0.1949,0.1888,0.1810,5.0,162.1,0.000,0.000,0.000,149.7,0.525,0.0000
step,fixed10,burst,232,0.0,191.4,0.0149,0.2746,0.0000,0.1810,4.0,52.8,0.000,0.000,0.000,149.9,0.526,0.0000
step,bsf,burst,232,0.0,192.6,0.0153,0.2803,0.0002,0.1810,4.0,132.9,0.000,0.000,0.000,150.9,0.529,0.0000
step,fixed10,burst,232,0.2,200.3,0.1898,0.3715,0.1902,0.1810,5.0,64.5,0.000,0.000,0.000,156.9,0.551,0.0000
step,bsf,burst,232,0.2,198.7,0.1884,0.3648,0.1888,0.1810,5.0,162.0,0.000,0.000,0.000,155.7,0.546,0.0000
circle,fixed10,burst,232,0.0,189.8,4713.4739,14114.2653,11665.3309,0.6670,13.1,224.2,0.000,0.000,0.000,148.7,0.522,0.5231
circle,bsf,burst,232,0.0,193.3,0.1026,1.5599,0.0476,0.1970,4.1,133.8,0.000,0.000,0.000,151.5,0.531,0.0012
circle,fixed10,burst,232,0.2,199.7,2160.0017,6298.2005,5268.8220,0.6670,14.0,235.9,0.000,0.000,0.000,156.5,0.549,0.3324
