task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,reactive,random,239,0.2,324.7,20223.1860,45632.9311,41137.0166,0.9930,30.6,592.1,0.998,0.002,0.000,303.5,1.065,0.9000
circle,fixed20,random,239,0.2,317.8,3660.0854,8174.0253,7377.8127,1.0000,10.2,587.1,0.000,0.000,0.000,297.1,1.042,0.0000
fig8,v3,random,239,0.0,306.7,14077.3992,27663.9680,25739.9250,0.9980,28.5,559.7,0.990,0.005,0.005,286.7,1.006,0.4359
fig8,reactive,random,239,0.0,319.4,19575.7013,44407.8302,39930.1415,0.9910,29.8,582.1,0.995,0.005,0.000,298.6,1.048,0.8042
fig8,fixed20,random,239,0.0,309.7,11864.8899,18964.6949,18653.1782,0.9990,10.2,584.4,0.000,0.000,0.000,289.6,1.016,0.2497
fig8,v3,random,239,0.2,326.3,20048.6183,45614.0008,41005.4607,0.9970,30.3,595.2,0.991,0.004,0.005,305.1,1.070,0.9680
fig8,reactive,random,239,0.2,316.7,9102.4869,20259.5561,18308.5074,0.9890,28.7,577.5,0.989,0.010,0.001,296.0,1.039,0.5119
fig8,fixed20,random,239,0.2,311.9,13565.4304,23793.5161,23048.7689,0.9990,11.7,582.0,0.000,0.000,0.000,291.6,1.023,0.2391
hover,v3,periodic,239,0.0,192.0,0.0089,0.0582,0.0022,0.2020,4.0,50.8,0.977,0.020,0.003,153.2,0.538,0.0000
hover,reactive,periodic,239,0.0,171.9,0.0086,0.0582,0.0019,0.2010,4.0,120.3,0.191,0.020,0.789,137.2,0.481,0.0000
hover,fixed20,periodic,239,0.0,171.8,0.0085,0.0582,0.0006,0.2000,4.0,119.7,0.000,0.000,0.000,137.2,0.481,0.0000
hover,v3,periodic,239,0.2,170.5,7.9223,63.8950,14.9121,0.2770,6.7,58.0,0.977,0.020,0.003,136.1,0.478,0.0353
hover,reactive,periodic,239,0.2,170.2,11700.5442,23610.4464,22348.4022,0.8990,17.2,206.8,0.910,0.028,0.062,135.8,0.477,0.4825
hover,fixed20,periodic,239,0.2,171.5,3659.7123,8173.5251,7377.3123,1.0000,7.0,220.0,0.000,0.000,0.000,136.9,0.480,0.0000
