traj,method,pattern,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
fig8,v3,periodic,443,69.3,0.0248,0.0797,0.0458,0.0000,7.7,46.4,0.9984,0.200,0.000,0.800,29.4,1.175
fig8,fixed20,periodic,443,69.8,0.1173,0.9852,0.1020,0.2000,7.8,46.6,1.0006,0.000,0.000,0.000,29.6,1.182
fig8,v3,burst,443,70.8,0.0252,0.1296,0.0358,0.0000,7.7,46.5,0.9988,0.180,0.000,0.820,29.4,1.178
fig8,fixed20,burst,443,71.0,0.0277,0.1256,0.0537,0.1800,7.7,46.6,0.9997,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,444,69.7,0.1712,1.9135,0.0452,0.0000,7.8,46.6,1.0014,0.200,0.000,0.800,29.6,1.182
circle,fixed20,periodic,444,69.7,0.3590,2.2099,0.1064,0.2000,8.0,46.6,0.9997,0.000,0.000,0.000,29.5,1.181
circle,v3,burst,444,78.6,0.1704,1.9135,0.0415,0.0000,7.9,46.6,0.9995,0.062,0.000,0.938,29.5,1.181
circle,fixed20,burst,444,78.8,0.1709,1.9135,0.0510,0.0620,8.0,46.6,1.0002,0.000,0.000,0.000,29.6,1.184
fig8,v3,periodic,444,69.4,0.0247,0.0797,0.0439,0.0000,7.7,46.5,0.9979,0.200,0.000,0.800,29.4,1.176
fig8,fixed20,periodic,444,69.9,0.1197,1.0021,0.0863,0.2000,7.8,46.6,0.9984,0.000,0.000,0.000,29.6,1.184
fig8,v3,burst,444,78.9,0.0216,0.0568,0.0351,0.0000,7.7,46.5,1.0012,0.062,0.000,0.938,29.6,1.185
fig8,fixed20,burst,444,78.5,0.0269,0.1935,0.0376,0.0620,7.7,46.5,0.9990,0.000,0.000,0.000,29.5,1.179
