task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,fixed20,30,339,189.4,10469.8600,20052.6360,19163.4458,0.9990,7.9,239.5,0.000,0.000,0.000,144.4,0.507,0.4895
fig8,v3,30,339,187.3,2349.3454,7111.6054,5862.8356,0.6500,12.7,215.3,0.993,0.004,0.003,142.9,0.501,0.3488
fig8,fixed20,30,339,187.0,1181.2326,3423.7347,2868.2558,0.6610,6.2,215.7,0.000,0.000,0.000,142.6,0.500,0.0939
hover,v3,5,340,208.2,0.0029,0.0447,0.0000,0.0280,4.0,50.5,0.994,0.003,0.003,142.8,0.501,0.0000
hover,fixed20,5,340,208.1,0.0029,0.0447,0.0000,0.0260,4.0,127.2,0.000,0.000,0.000,142.8,0.501,0.0000
step,v3,5,340,210.2,0.0151,0.2746,0.0004,0.0280,4.0,50.7,0.994,0.003,0.003,144.2,0.506,0.0000
step,fixed20,5,340,207.7,0.0155,0.2803,0.0003,0.0260,4.0,127.3,0.000,0.000,0.000,142.5,0.500,0.0000
circle,v3,5,340,209.9,0.1360,1.5406,0.0426,0.0310,4.1,51.0,0.993,0.004,0.003,144.0,0.505,0.0022
circle,fixed20,5,340,208.6,12981.9158,30166.4391,27316.9253,0.9990,7.9,238.7,0.000,0.000,0.000,143.1,0.502,0.4544
fig8,v3,5,340,209.8,0.3810,3.8038,0.0486,0.0340,4.2,50.8,0.993,0.004,0.003,144.0,0.505,0.0057
fig8,fixed20,5,340,204.6,7679.3161,10628.3319,10609.5712,0.9990,7.3,215.3,0.000,0.000,0.000,140.4,0.493,0.1867
hover,v3,10,340,203.0,0.0029,0.0447,0.0000,0.0530,4.0,50.4,0.994,0.003,0.003,142.2,0.499,0.0000
hover,fixed20,10,340,209.1,0.0029,0.0447,0.0000,0.0510,4.0,126.5,0.000,0.000,0.000,146.4,0.514,0.0000
step,v3,10,340,204.8,0.0151,0.2746,0.0004,0.0530,4.0,50.6,0.994,0.003,0.003,143.4,0.503,0.0000
step,fixed20,10,340,205.7,0.0155,0.2803,0.0003,0.0510,4.0,126.8,0.000,0.000,0.000,144.1,0.505,0.0000
circle,v3,10,340,205.9,0.1360,1.5406,0.0427,0.0560,4.1,50.9,0.993,0.004,0.003,144.2,0.506,0.0022
circle,fixed20,10,340,207.7,12981.9158,30166.4391,27316.9253,0.9990,8.0,238.2,0.000,0.000,0.000,145.5,0.510,0.4544
fig8,v3,10,340,208.2,0.3815,3.8038,0.0493,0.0590,4.3,50.9,0.993,0.004,0.003,145.8,0.512,0.0057
fig8,fixed20,10,340,204.3,7679.3161,10628.3319,10609.5712,0.9990,7.7,239.4,0.000,0.000,0.000,143.0,0.502,0.1867
hover,v3,15,340,195.3,0.0029,0.0447,0.0000,0.0780,4.0,48.8,0.994,0.003,0.003,139.6,0.490,0.0000
hover,fixed20,15,340,196.2,0.0029,0.0447,0.0000,0.0760,4.0,124.9,0.000,0.000,0.000,140.3,0.492,0.0000
step,v3,15,340,196.3,0.0151,0.2746,0.0004,0.0780,4.0,49.2,0.994,0.003,0.003,140.4,0.492,0.0000
step,fixed20,15,340,196.2,0.0155,0.2803,0.0003,0.0760,4.0,125.1,0.000,0.000,0.000,140.3,0.492,0.0000
circle,v3,15,340,193.0,693.5081,2681.8118,1932.8800,0.3940,9.5,49.3,0.993,0.004,0.003,138.0,0.484,0.2018
circle,fixed20,15,340,198.9,12981.9158,30166.4391,27316.9253,0.9990,7.6,237.8,0.000,0.000,0.000,142.2,0.499,0.4544
fig8,v3,15,340,203.3,0.5241,3.8038,0.4751,0.0840,4.5,50.8,0.993,0.004,0.003,145.4,0.510,0.0100
fig8,fixed20,15,340,199.7,7679.3161,10628.3319,10609.5712,0.9990,7.8,238.3,0.000,0.000,0.000,142.7,0.501,0.1867
hover,v3,20,340,196.6,0.0029,0.0447,0.0000,0.1030,4.0,50.7,0.994,0.003,0.003,143.5,0.504,0.0000
hover,fixed20,20,340,195.9,0.0029,0.0447,0.0000,0.1010,4.0,127.2,0.000,0.000,0.000,143.0,0.502,0.0000
step,v3,20,340,199.1,0.0151,0.2746,0.0004,0.1030,4.0,48.9,0.994,0.003,0.003,145.4,0.510,0.0000
step,fixed20,20,340,194.7,0.0155,0.2803,0.0003,0.1010,4.0,125.1,0.000,0.000,0.000,142.2,0.499,0.0000
circle,v3,20,340,194.6,801.8641,3454.2678,2279.4974,0.3860,9.6,50.1,0.993,0.004,0.003,142.1,0.498,0.2246
circle,fixed20,20,340,191.0,12981.9158,30166.4391,27316.9253,0.9990,7.5,219.0,0.000,0.000,0.000,139.5,0.489,0.4544
fig8,v3,20,340,196.8,717.7272,2637.5799,1965.0319,0.4130,10.4,50.9,0.993,0.004,0.003,143.7,0.504,0.1409
fig8,fixed20,20,340,192.9,7679.3161,10628.3319,10609.5712,0.9990,7.7,235.1,0.000,0.000,0.000,140.9,0.494,0.1867
hover,v3,30,340,188.8,0.0029,0.0447,0.0000,0.1530,4.0,48.8,0.994,0.003,0.003,144.0,0.505,0.0000
hover,fixed20,30,340,184.6,0.0029,0.0447,0.0000,0.1510,4.0,124.2,0.000,0.000,0.000,140.8,0.494,0.0000
step,v3,30,340,185.3,0.0151,0.2746,0.0004,0.1530,4.0,50.5,0.994,0.003,0.003,141.3,0.496,0.0000
step,fixed20,30,340,192.4,0.0155,0.2803,0.0003,0.1510,4.0,126.0,0.000,0.000,0.000,146.7,0.515,0.0000
circle,v3,30,340,189.8,326.7682,1071.8581,851.3246,0.4420,10.1,51.8,0.993,0.004,0.003,144.7,0.508,0.1498
circle,fixed20,30,340,191.0,12981.9158,30166.4391,27316.9253,0.9990,8.0,240.9,0.000,0.000,0.000,145.6,0.511,0.4544
fig8,v3,30,340,190.9,756.1624,2709.1307,2047.7473,0.4430,10.3,51.9,0.993,0.004,0.003,145.6,0.511,0.0699
fig8,fixed20,30,340,186.9,7679.3161,10628.3319,10609.5712,0.9990,7.9,235.2,0.000,0.000,0.000,142.6,0.500,0.1867
hover,v3,5,341,199.5,0.0011,0.0164,0.0000,0.0430,4.0,48.9,0.994,0.003,0.003,138.6,0.486,0.0000
hover,fixed20,5,341,201.3,0.0011,0.0164,0.0000,0.0410,4.0,124.0,0.000,0.000,0.000,139.8,0.491,0.0000
step,v3,5,341,206.4,0.0149,0.2746,0.0003,0.0430,4.0,49.0,0.994,0.003,0.003,143.3,0.503,0.0000
step,fixed20,5,341,202.7,0.0153,0.2803,0.0002,0.0410,4.0,124.4,0.000,0.000,0.000,140.8,0.494,0.0000
circle,v3,5,341,203.4,7550.0828,16687.6964,15094.7817,0.9970,19.4,215.4,0.993,0.004,0.003,141.3,0.496,0.5826
circle,fixed20,5,341,203.1,4871.1189,10972.5916,9787.3836,0.9990,7.4,217.0,0.000,0.000,0.000,141.0,0.495,0.4770
fig8,v3,5,341,205.0,19365.9828,40980.6430,37634.6165,0.9990,18.9,218.0,0.993,0.004,0.003,142.4,0.500,0.1897
fig8,fixed20,5,341,204.7,0.0488,0.5036,0.0540,0.0410,4.0,127.4,0.000,0.000,0.000,142.2,0.499,0.0000
hover,v3,10,341,199.6,0.0011,0.0164,0.0000,0.0810,4.0,51.0,0.994,0.003,0.003,143.0,0.502,0.0000
hover,fixed20,10,341,199.2,0.0011,0.0164,0.0000,0.0790,4.0,127.0,0.000,0.000,0.000,142.7,0.501,0.0000
step,v3,10,341,197.6,0.0149,0.2746,0.0003,0.0810,4.0,48.9,0.994,0.003,0.003,141.6,0.497,0.0000
step,fixed20,10,341,199.5,0.0153,0.2803,0.0002,0.0790,4.0,124.2,0.000,0.000,0.000,143.0,0.502,0.0000
circle,v3,10,341,200.4,7550.0828,16687.6964,15094.7817,0.9970,19.0,218.2,0.993,0.004,0.003,143.6,0.504,0.5826
circle,fixed20,10,341,201.8,4852.0737,10909.2722,9917.7429,0.9990,7.9,238.5,0.000,0.000,0.000,144.6,0.507,0.4649
fig8,v3,10,341,199.6,0.0463,0.5036,0.0484,0.0810,4.0,49.4,0.993,0.004,0.003,143.1,0.502,0.0000
fig8,fixed20,10,341,198.8,0.0488,0.5036,0.0540,0.0790,4.0,124.6,0.000,0.000,0.000,142.5,0.500,0.0000
hover,v3,15,341,193.1,0.0011,0.0164,0.0000,0.1080,4.0,49.0,0.994,0.003,0.003,141.6,0.497,0.0000
hover,fixed20,15,341,193.7,0.0011,0.0164,0.0000,0.1060,4.0,125.3,0.000,0.000,0.000,142.0,0.498,0.0000
step,v3,15,341,198.8,0.0149,0.2746,0.0003,0.1080,4.0,49.3,0.994,0.003,0.003,145.7,0.511,0.0000
step,fixed20,15,341,194.6,0.0153,0.2803,0.0002,0.1060,4.0,125.4,0.000,0.000,0.000,142.7,0.501,0.0000
circle,v3,15,341,194.9,5606.7917,12166.5889,11050.8973,0.9950,19.9,220.8,0.993,0.004,0.003,142.9,0.502,0.5742
circle,fixed20,15,341,194.8,4852.0737,10909.2722,9917.7429,0.9990,7.9,238.0,0.000,0.000,0.000,142.8,0.501,0.4649
fig8,v3,15,341,196.6,0.0462,0.5036,0.0484,0.1080,4.0,49.3,0.993,0.004,0.003,144.2,0.506,0.0000
fig8,fixed20,15,341,192.3,5582.8483,15597.2647,13252.2037,0.6850,6.5,224.1,0.000,0.000,0.000,141.0,0.495,0.1352
hover,v3,20,341,193.3,0.0011,0.0164,0.0000,0.1230,4.0,49.0,0.994,0.003,0.003,143.6,0.504,0.0000
hover,fixed20,20,341,198.1,0.0011,0.0164,0.0000,0.1210,4.0,124.7,0.000,0.000,0.000,147.1,0.516,0.0000
step,v3,20,341,192.9,0.0149,0.2746,0.0003,0.1230,4.0,48.7,0.994,0.003,0.003,143.2,0.503,0.0000
step,fixed20,20,341,194.6,0.0153,0.2803,0.0002,0.1210,4.0,125.0,0.000,0.000,0.000,144.6,0.507,0.0000
circle,v3,20,341,191.7,5606.7917,12166.5889,11050.8973,0.9950,19.7,221.4,0.993,0.004,0.003,142.4,0.500,0.5742
circle,fixed20,20,341,191.1,5239.3137,10956.2328,10143.0779,0.9990,8.0,234.3,0.000,0.000,0.000,142.0,0.498,0.4631
fig8,v3,20,341,200.5,0.0808,0.8823,0.0486,0.1230,4.1,49.0,0.993,0.004,0.003,148.9,0.522,0.0018
fig8,fixed20,20,341,188.9,1430.7396,3997.5732,3393.0614,0.6880,6.5,232.6,0.000,0.000,0.000,140.3,0.492,0.1015
hover,v3,30,341,180.4,0.0011,0.0164,0.0000,0.1830,4.0,48.8,0.994,0.003,0.003,141.3,0.496,0.0000
hover,fixed20,30,341,184.0,0.0011,0.0164,0.0000,0.1810,4.0,127.6,0.000,0.000,0.000,144.1,0.506,0.0000
step,v3,30,341,186.2,0.0149,0.2746,0.0003,0.1830,4.0,50.6,0.994,0.003,0.003,145.9,0.512,0.0000
step,fixed20,30,341,187.0,0.0153,0.2803,0.0002,0.1810,4.0,126.8,0.000,0.000,0.000,146.5,0.514,0.0000
circle,v3,30,341,187.3,4982.2358,14931.6232,12361.6146,0.6870,14.1,221.1,0.993,0.004,0.003,146.8,0.515,0.5283
circle,fixed20,30,341,189.6,18457.7436,44879.2993,39719.3250,0.9990,7.9,238.9,0.000,0.000,0.000,148.6,0.521,0.4452
fig8,v3,30,341,185.5,2905.2559,8489.3352,7096.9496,0.6750,13.3,218.3,0.993,0.004,0.003,145.4,0.510,0.0859
fig8,fixed20,30,341,186.7,1370.1395,3877.3336,3278.8521,0.6880,6.5,237.0,0.000,0.000,0.000,146.3,0.513,0.1022
hover,v3,5,342,200.7,0.1038,1.2867,0.0016,0.0580,4.1,48.9,0.994,0.003,0.003,141.1,0.495,0.0021
hover,fixed20,5,342,205.0,4211.2939,9493.1436,8552.6886,0.9880,7.8,240.5,0.000,0.000,0.000,144.1,0.506,0.1361
step,v3,5,342,205.3,0.1049,1.2867,0.0059,0.0580,4.1,50.6,0.994,0.003,0.003,144.4,0.507,0.0021
step,fixed20,5,342,205.5,4211.6592,9493.6391,8553.1839,0.9880,7.9,241.0,0.000,0.000,0.000,144.5,0.507,0.1361
circle,v3,5,342,202.3,9071.3041,20196.5990,18241.2308,0.9980,19.0,216.1,0.993,0.004,0.003,142.2,0.499,0.6044
circle,fixed20,5,342,201.0,19664.0686,44496.3735,40257.0285,0.9990,7.6,228.2,0.000,0.000,0.000,141.4,0.496,0.5225
fig8,v3,5,342,200.3,0.4341,3.7105,0.0487,0.0590,4.3,49.1,0.993,0.004,0.003,140.9,0.494,0.0086
fig8,fixed20,5,342,201.3,7234.5518,15877.6208,14429.9074,0.9920,7.9,234.8,0.000,0.000,0.000,141.5,0.497,0.1619
hover,v3,10,342,194.5,3257.2429,6942.4564,6317.5487,0.9680,19.4,220.1,0.994,0.003,0.003,142.0,0.498,0.4619
hover,fixed20,10,342,192.1,5035.5726,10789.5946,9902.6374,0.9880,7.5,229.1,0.000,0.000,0.000,140.3,0.492,0.1240
step,v3,10,342,195.8,10059.8582,22877.3210,20568.2825,0.9830,18.6,217.9,0.994,0.003,0.003,143.0,0.502,0.6395
step,fixed20,10,342,196.2,5035.8617,10790.0103,9903.0452,0.9880,7.7,240.0,0.000,0.000,0.000,143.2,0.503,0.1240
circle,v3,10,342,196.5,9071.3041,20196.5990,18241.2308,0.9980,19.0,217.4,0.993,0.004,0.003,143.5,0.503,0.6044
circle,fixed20,10,342,197.7,21258.5010,49481.6429,44301.9363,0.9990,7.9,234.2,0.000,0.000,0.000,144.4,0.507,0.5306
fig8,v3,10,342,199.2,13858.7998,30895.6365,27892.3341,0.9940,19.9,220.7,0.993,0.004,0.003,145.4,0.510,0.3870
fig8,fixed20,10,342,200.0,7234.5518,15877.6208,14429.9074,0.9920,8.0,237.1,0.000,0.000,0.000,146.0,0.512,0.1619
hover,v3,15,342,181.5,19984.8707,45510.4447,40906.3075,0.9900,18.7,210.9,0.994,0.003,0.003,138.4,0.486,0.8370
hover,fixed20,15,342,186.6,4372.1368,9854.5117,8876.1599,0.9920,7.9,235.9,0.000,0.000,0.000,142.3,0.499,0.1621
step,v3,15,342,185.6,19985.2357,45510.9445,40906.8073,0.9900,19.4,219.8,0.994,0.003,0.003,141.6,0.497,0.8370
step,fixed20,15,342,185.9,4372.5018,9855.0091,8876.6570,0.9920,7.9,235.2,0.000,0.000,0.000,141.8,0.498,0.1621
circle,v3,15,342,184.1,9071.3041,20196.5990,18241.2308,0.9980,19.5,218.4,0.993,0.004,0.003,140.4,0.493,0.6044
circle,fixed20,15,342,185.4,21258.5010,49481.6429,44301.9363,0.9990,7.9,229.6,0.000,0.000,0.000,141.4,0.496,0.5306
fig8,v3,15,342,185.0,13858.7998,30895.6365,27892.3341,0.9940,19.6,219.4,0.993,0.004,0.003,141.1,0.495,0.3870
fig8,fixed20,15,342,186.7,7234.5518,15877.6208,14429.9074,0.9920,7.9,234.9,0.000,0.000,0.000,142.4,0.500,0.1619
hover,v3,20,342,175.5,4494.7273,10087.1615,9094.9610,0.9940,19.0,216.4,0.994,0.003,0.003,140.1,0.491,0.1639
hover,fixed20,20,342,181.6,4372.1368,9854.5117,8876.1599,0.9920,7.9,240.7,0.000,0.000,0.000,144.9,0.509,0.1621
step,v3,20,342,178.7,4495.0930,10087.6576,9095.4568,0.9940,18.7,216.7,0.994,0.003,0.003,142.7,0.501,0.1639
step,fixed20,20,342,180.6,4372.5018,9855.0091,8876.6570,0.9920,7.8,240.9,0.000,0.000,0.000,144.1,0.506,0.1621
circle,v3,20,342,178.3,9071.3041,20196.5990,18241.2308,0.9980,18.9,217.8,0.993,0.004,0.003,142.3,0.499,0.6044
circle,fixed20,20,342,178.2,21258.5010,49481.6429,44301.9363,0.9990,7.9,230.3,0.000,0.000,0.000,142.3,0.499,0.5306
fig8,v3,20,342,180.6,13858.7998,30895.6365,27892.3341,0.9940,19.1,218.4,0.993,0.004,0.003,144.2,0.506,0.3870
fig8,fixed20,20,342,178.9,9903.7749,21878.0290,19760.3771,0.9930,7.9,237.9,0.000,0.000,0.000,142.8,0.501,0.1834
hover,v3,30,342,165.6,17313.3993,40538.0072,36210.6329,0.9910,19.4,220.0,0.994,0.003,0.003,141.4,0.496,0.9235
hover,fixed20,30,342,165.4,4372.1368,9854.5117,8876.1599,0.9920,7.9,234.5,0.000,0.000,0.000,141.2,0.495,0.1621
step,v3,30,342,162.4,3511.2135,7830.4417,7056.0760,0.9920,18.7,210.8,0.994,0.003,0.003,138.7,0.487,0.2007
step,fixed20,30,342,163.7,4372.5018,9855.0091,8876.6570,0.9920,7.7,234.1,0.000,0.000,0.000,139.8,0.490,0.1621
circle,v3,30,342,164.7,9071.3041,20196.5990,18241.2308,0.9980,19.6,218.8,0.993,0.004,0.003,140.6,0.493,0.6044
circle,fixed20,30,342,168.1,21258.5010,49481.6429,44301.9363,0.9990,8.0,227.7,0.000,0.000,0.000,143.5,0.504,0.5306
fig8,v3,30,342,166.1,13858.7998,30895.6365,27892.3341,0.9940,19.6,220.4,0.993,0.004,0.003,141.8,0.498,0.3870
fig8,fixed20,30,342,167.0,13108.5463,29114.7511,26281.7892,0.9960,7.9,235.7,0.000,0.000,0.000,142.6,0.500,0.2720
hover,v3,5,343,204.9,0.0035,0.0562,0.0000,0.0380,4.0,49.0,0.994,0.003,0.003,141.7,0.497,0.0000
hover,fixed20,5,343,202.4,0.0036,0.0562,0.0000,0.0360,4.0,124.8,0.000,0.000,0.000,140.0,0.491,0.0000
step,v3,5,343,204.4,0.0153,0.2746,0.0004,0.0380,4.0,48.9,0.994,0.003,0.003,141.4,0.496,0.0000
step,fixed20,5,343,202.4,0.0157,0.2803,0.0004,0.0360,4.0,124.8,0.000,0.000,0.000,140.0,0.491,0.0000
circle,v3,5,343,204.1,0.1389,1.5738,0.0426,0.0410,4.1,48.7,0.993,0.004,0.003,141.2,0.495,0.0022
circle,fixed20,5,343,208.8,20967.2549,48428.7819,43513.8830,0.9990,7.9,232.1,0.000,0.000,0.000,144.4,0.507,0.5424
fig8,v3,5,343,204.2,0.0474,0.5269,0.0484,0.0380,4.0,48.9,0.993,0.004,0.003,141.2,0.496,0.0000
fig8,fixed20,5,343,201.2,0.0500,0.5269,0.0540,0.0400,4.1,122.1,0.000,0.000,0.000,139.2,0.488,0.0000
hover,v3,10,343,198.7,0.0035,0.0562,0.0000,0.0730,4.0,49.0,0.994,0.003,0.003,141.5,0.496,0.0000
hover,fixed20,10,343,198.5,0.0036,0.0562,0.0000,0.0710,4.0,124.6,0.000,0.000,0.000,141.3,0.496,0.0000
step,v3,10,343,201.9,0.0153,0.2746,0.0004,0.0730,4.0,50.6,0.994,0.003,0.003,143.7,0.504,0.0000
step,fixed20,10,343,201.2,0.0157,0.2803,0.0004,0.0710,4.0,126.6,0.000,0.000,0.000,143.2,0.503,0.0000
circle,v3,10,343,199.1,0.1389,1.5738,0.0428,0.0760,4.1,50.7,0.993,0.004,0.003,141.7,0.497,0.0022
circle,fixed20,10,343,202.4,20967.2549,48428.7819,43513.8830,0.9990,7.9,230.6,0.000,0.000,0.000,144.1,0.506,0.5424
fig8,v3,10,343,197.0,0.0475,0.5269,0.0484,0.0730,4.0,48.9,0.993,0.004,0.003,140.2,0.492,0.0000
fig8,fixed20,10,343,195.3,6278.6761,14089.1090,12702.1277,0.9960,7.5,216.4,0.000,0.000,0.000,139.0,0.488,0.1474
hover,v3,15,343,191.8,0.0035,0.0562,0.0000,0.1080,4.0,49.0,0.994,0.003,0.003,140.6,0.493,0.0000
hover,fixed20,15,343,193.1,0.0036,0.0562,0.0000,0.1060,4.0,124.5,0.000,0.000,0.000,141.6,0.497,0.0000
step,v3,15,343,190.9,0.0153,0.2746,0.0004,0.1080,4.0,48.8,0.994,0.003,0.003,140.0,0.491,0.0000
step,fixed20,15,343,190.7,0.0157,0.2803,0.0004,0.1060,4.0,124.6,0.000,0.000,0.000,139.8,0.491,0.0000
circle,v3,15,343,192.8,0.1393,1.5738,0.0448,0.1110,4.1,49.4,0.993,0.004,0.003,141.4,0.496,0.0022
circle,fixed20,15,343,190.1,20967.2549,48428.7819,43513.8830,0.9990,7.7,226.3,0.000,0.000,0.000,139.4,0.489,0.5424
fig8,v3,15,343,191.6,0.0536,0.5269,0.0486,0.1080,4.1,49.0,0.993,0.004,0.003,140.5,0.493,0.0000
fig8,fixed20,15,343,193.4,5325.5678,11687.6240,10945.8988,0.7390,6.8,233.2,0.000,0.000,0.000,141.8,0.498,0.2123
hover,v3,20,343,187.5,0.0036,0.0562,0.0001,0.1430,4.0,49.0,0.994,0.003,0.003,141.8,0.497,0.0000
hover,fixed20,20,343,188.0,0.0036,0.0562,0.0000,0.1410,4.0,124.5,0.000,0.000,0.000,142.1,0.499,0.0000
step,v3,20,343,187.5,0.0153,0.2746,0.0006,0.1430,4.0,48.9,0.994,0.003,0.003,141.8,0.497,0.0000
step,fixed20,20,343,186.6,0.0157,0.2803,0.0004,0.1410,4.0,123.5,0.000,0.000,0.000,141.0,0.495,0.0000
circle,v3,20,343,189.6,0.3686,3.5707,0.1107,0.1470,4.3,49.0,0.993,0.004,0.003,143.3,0.503,0.0054
circle,fixed20,20,343,184.9,19373.4050,43321.4030,39391.6570,0.9990,7.7,233.6,0.000,0.000,0.000,139.8,0.490,0.5414
fig8,v3,20,343,187.0,1.2030,8.4237,1.5606,0.1560,4.9,49.1,0.993,0.004,0.003,141.3,0.496,0.0194
fig8,fixed20,20,343,189.1,1810.6342,4852.6429,4178.7112,0.7410,6.6,237.6,0.000,0.000,0.000,143.0,0.502,0.1104
hover,v3,30,343,180.1,0.0106,0.1263,0.0016,0.1830,4.0,50.4,0.994,0.003,0.003,141.2,0.495,0.0000
hover,fixed20,30,343,185.8,0.0042,0.0562,0.0003,0.1810,4.0,126.4,0.000,0.000,0.000,145.6,0.511,0.0000
step,v3,30,343,185.3,0.0181,0.2746,0.0051,0.1830,4.0,50.6,0.994,0.003,0.003,145.2,0.509,0.0000
step,fixed20,30,343,181.9,0.0158,0.2803,0.0028,0.1810,4.0,127.0,0.000,0.000,0.000,142.5,0.500,0.0000
circle,v3,30,343,183.1,9990.0948,27844.5277,23736.5817,0.7430,14.2,216.6,0.993,0.004,0.003,143.5,0.503,0.2752
circle,fixed20,30,343,179.3,9322.9149,16146.5019,15411.7508,0.9990,7.2,215.0,0.000,0.000,0.000,140.5,0.493,0.5162
fig8,v3,30,343,187.4,2673.4276,7317.9599,6259.3364,0.7400,14.6,225.1,0.993,0.004,0.003,146.9,0.515,0.3174
fig8,fixed20,30,343,184.6,1879.9978,4922.7714,4263.5800,0.7600,6.9,239.3,0.000,0.000,0.000,144.7,0.508,0.1071
hover,v3,5,344,204.5,0.0032,0.0535,0.0000,0.0380,4.0,50.7,0.994,0.003,0.003,141.5,0.496,0.0000
hover,fixed20,5,344,206.1,0.0033,0.0535,0.0000,0.0360,4.0,127.3,0.000,0.000,0.000,142.5,0.500,0.0000
step,v3,5,344,207.4,0.0152,0.2746,0.0002,0.0380,4.0,50.8,0.994,0.003,0.003,143.5,0.504,0.0000
step,fixed20,5,344,217.9,0.0156,0.2803,0.0003,0.0360,4.0,126.9,0.000,0.000,0.000,150.7,0.529,0.0000
circle,v3,5,344,202.3,0.2112,1.8667,0.0427,0.0420,4.1,50.7,0.993,0.004,0.003,139.9,0.491,0.0035
circle,fixed20,5,344,204.3,10860.2220,24881.0988,22680.7287,0.9990,8.0,231.4,0.000,0.000,0.000,141.3,0.496,0.4803
fig8,v3,5,344,200.9,0.0443,0.4511,0.0484,0.0380,4.0,49.0,0.993,0.004,0.003,139.0,0.488,0.0000
fig8,fixed20,5,344,208.4,0.0468,0.4511,0.0540,0.0360,4.0,127.3,0.000,0.000,0.000,144.2,0.506,0.0000
hover,v3,10,344,201.4,0.0032,0.0535,0.0000,0.0730,4.0,50.4,0.994,0.003,0.003,143.4,0.503,0.0000
hover,fixed20,10,344,199.2,0.0033,0.0535,0.0000,0.0710,4.0,127.6,0.000,0.000,0.000,141.8,0.497,0.0000
step,v3,10,344,201.8,0.0152,0.2746,0.0002,0.0730,4.0,50.8,0.994,0.003,0.003,143.6,0.504,0.0000
step,fixed20,10,344,198.9,0.0156,0.2803,0.0003,0.0710,4.0,126.1,0.000,0.000,0.000,141.6,0.497,0.0000
circle,v3,10,344,196.2,0.2112,1.8667,0.0429,0.0770,4.1,50.5,0.993,0.004,0.003,139.7,0.490,0.0035
circle,fixed20,10,344,200.4,13263.4638,32918.0652,29062.9523,0.9990,7.8,237.5,0.000,0.000,0.000,142.7,0.501,0.4801
fig8,v3,10,344,201.8,0.0442,0.4511,0.0484,0.0730,4.0,50.9,0.993,0.004,0.003,143.7,0.504,0.0000
fig8,fixed20,10,344,202.5,0.0468,0.4511,0.0540,0.0710,4.0,127.3,0.000,0.000,0.000,144.1,0.506,0.0000
hover,v3,15,344,194.4,0.0032,0.0535,0.0000,0.1080,4.0,50.9,0.994,0.003,0.003,142.6,0.500,0.0000
hover,fixed20,15,344,192.2,0.0033,0.0535,0.0000,0.1060,4.0,126.6,0.000,0.000,0.000,141.0,0.495,0.0000
step,v3,15,344,194.7,0.0152,0.2746,0.0002,0.1080,4.0,50.9,0.994,0.003,0.003,142.8,0.501,0.0000
step,fixed20,15,344,193.4,0.0156,0.2803,0.0003,0.1060,4.0,127.2,0.000,0.000,0.000,141.8,0.498,0.0000
circle,v3,15,344,197.9,0.2155,1.8667,0.0615,0.1120,4.2,50.8,0.993,0.004,0.003,145.1,0.509,0.0035
circle,fixed20,15,344,195.7,13263.4638,32918.0652,29062.9523,0.9990,7.9,239.0,0.000,0.000,0.000,143.5,0.504,0.4801
fig8,v3,15,344,193.2,0.0571,0.4511,0.0486,0.1080,4.0,50.5,0.993,0.004,0.003,141.6,0.497,0.0000
fig8,fixed20,15,344,195.1,3003.7900,8042.3209,6962.5897,0.6820,6.3,216.8,0.000,0.000,0.000,143.1,0.502,0.1235
hover,v3,20,344,192.1,0.0032,0.0535,0.0000,0.1430,4.0,50.8,0.994,0.003,0.003,145.2,0.509,0.0000
hover,fixed20,20,344,188.3,0.0033,0.0535,0.0000,0.1410,4.0,126.9,0.000,0.000,0.000,142.3,0.499,0.0000
step,v3,20,344,191.3,0.0152,0.2746,0.0002,0.1430,4.0,51.0,0.994,0.003,0.003,144.6,0.507,0.0000
step,fixed20,20,344,191.3,0.0156,0.2803,0.0003,0.1410,4.0,127.1,0.000,0.000,0.000,144.6,0.507,0.0000
circle,v3,20,344,188.5,2852.3939,7490.1766,6373.7589,0.6940,13.8,216.2,0.993,0.004,0.003,142.5,0.500,0.1528
circle,fixed20,20,344,188.2,11299.6634,26200.6484,23773.8392,0.9990,7.7,238.4,0.000,0.000,0.000,142.3,0.499,0.4767
fig8,v3,20,344,188.9,4882.9757,12199.2593,10924.2817,0.6890,13.7,217.4,0.993,0.004,0.003,142.8,0.501,0.1811
fig8,fixed20,20,344,192.8,1661.4077,4504.4184,3861.9696,0.7050,6.7,239.3,0.000,0.000,0.000,145.7,0.511,0.1078
hover,v3,30,344,182.2,0.0032,0.0535,0.0000,0.2130,4.0,50.6,0.994,0.003,0.003,146.8,0.515,0.0000
hover,fixed20,30,344,177.3,0.0033,0.0535,0.0000,0.2110,4.0,126.3,0.000,0.000,0.000,142.8,0.501,0.0000
step,v3,30,344,185.0,0.0152,0.2746,0.0002,0.2130,4.0,50.5,0.994,0.003,0.003,149.0,0.523,0.0000
step,fixed20,30,344,175.1,0.0156,0.2803,0.0003,0.2110,4.0,123.3,0.000,0.000,0.000,141.1,0.495,0.0000
circle,v3,30,344,179.6,1601.9437,4498.6758,3815.2840,0.7030,14.7,221.0,0.993,0.004,0.003,144.7,0.508,0.3211
