task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
step,v3,5,332,214.0,0.0152,0.2746,0.0003,0.0180,4.0,50.3,0.994,0.003,0.003,145.7,0.511,0.0000
step,fixed20,5,332,218.7,0.0156,0.2803,0.0003,0.0160,4.0,127.5,0.000,0.000,0.000,148.9,0.522,0.0000
circle,v3,5,332,210.9,0.2235,1.9913,0.0426,0.0220,4.1,49.1,0.993,0.004,0.003,143.6,0.504,0.0038
circle,fixed20,5,332,206.8,1350.4973,4175.3941,3411.5936,0.9990,7.9,234.8,0.000,0.000,0.000,140.8,0.494,0.2168
fig8,v3,5,332,207.5,0.0472,0.5232,0.0484,0.0180,4.0,48.9,0.993,0.004,0.003,141.2,0.496,0.0000
fig8,fixed20,5,332,212.3,0.0497,0.5232,0.0540,0.0170,4.0,124.7,0.000,0.000,0.000,144.5,0.507,0.0000
hover,v3,10,332,203.8,0.0030,0.0492,0.0000,0.0330,4.0,49.2,0.994,0.003,0.003,140.4,0.493,0.0000
hover,fixed20,10,332,207.0,0.0031,0.0492,0.0000,0.0310,4.0,125.4,0.000,0.000,0.000,142.6,0.500,0.0000
step,v3,10,332,206.6,0.0152,0.2746,0.0003,0.0330,4.0,49.0,0.994,0.003,0.003,142.3,0.499,0.0000
step,fixed20,10,332,206.5,0.0156,0.2803,0.0003,0.0310,4.0,124.8,0.000,0.000,0.000,142.3,0.499,0.0000
circle,v3,10,332,208.6,0.2235,1.9913,0.0426,0.0370,4.1,49.3,0.993,0.004,0.003,143.7,0.504,0.0038
circle,fixed20,10,332,209.7,1350.4973,4175.3941,3411.5936,0.9990,7.9,240.1,0.000,0.000,0.000,144.5,0.507,0.2168
fig8,v3,10,332,207.2,0.0472,0.5232,0.0484,0.0330,4.0,50.8,0.993,0.004,0.003,142.8,0.501,0.0000
fig8,fixed20,10,332,208.3,0.0497,0.5232,0.0540,0.0320,4.0,127.6,0.000,0.000,0.000,143.5,0.504,0.0000
hover,v3,15,332,206.5,0.0030,0.0492,0.0000,0.0480,4.0,51.0,0.994,0.003,0.003,144.0,0.505,0.0000
hover,fixed20,15,332,208.5,0.0031,0.0492,0.0000,0.0460,4.0,127.1,0.000,0.000,0.000,145.4,0.510,0.0000
step,v3,15,332,209.5,0.0152,0.2746,0.0003,0.0480,4.0,50.6,0.994,0.003,0.003,146.1,0.513,0.0000
step,fixed20,15,332,207.6,0.0156,0.2803,0.0003,0.0460,4.0,127.3,0.000,0.000,0.000,144.8,0.508,0.0000
circle,v3,15,332,204.8,0.2235,1.9913,0.0426,0.0520,4.1,50.8,0.993,0.004,0.003,142.8,0.501,0.0038
circle,fixed20,15,332,205.5,1350.4973,4175.3941,3411.5936,0.9990,7.8,239.5,0.000,0.000,0.000,143.3,0.503,0.2168
fig8,v3,15,332,205.3,0.0471,0.5232,0.0484,0.0480,4.0,50.6,0.993,0.004,0.003,143.1,0.502,0.0000
fig8,fixed20,15,332,205.0,0.0497,0.5232,0.0540,0.0470,4.0,124.5,0.000,0.000,0.000,143.0,0.502,0.0000
hover,v3,20,332,204.0,0.0030,0.0492,0.0000,0.0630,4.0,48.9,0.994,0.003,0.003,144.0,0.505,0.0000
hover,fixed20,20,332,201.9,0.0031,0.0492,0.0000,0.0610,4.0,125.8,0.000,0.000,0.000,142.6,0.500,0.0000
step,v3,20,332,199.3,0.0152,0.2746,0.0003,0.0630,4.0,49.3,0.994,0.003,0.003,140.7,0.494,0.0000
step,fixed20,20,332,205.8,0.0156,0.2803,0.0003,0.0610,4.0,127.7,0.000,0.000,0.000,145.3,0.510,0.0000
circle,v3,20,332,205.0,0.2235,1.9913,0.0426,0.0670,4.1,50.7,0.993,0.004,0.003,144.7,0.508,0.0038
circle,fixed20,20,332,207.7,1350.4973,4175.3941,3411.5936,0.9990,8.0,241.5,0.000,0.000,0.000,146.7,0.515,0.2168
